filename,minx,miny,maxx,maxy
province0_ref_shoreline.geojson,-60.76923092266895,-34.04898080751826,-57.79499466999991,-30.151440931453806
province1_ref_shoreline.geojson,-58.202618367999975,-32.61428801897688,-56.24485592276261,-31.470430190301045
province2_ref_shoreline.geojson,113.77639407802428,-2.3629762877949707,119.01172936300009,4.396787008000018
province3_ref_shoreline.geojson,115.35962975400003,4.145949698020161,119.27808678500003,7.35578034100007
province4_ref_shoreline.geojson,-70.39470274677868,-19.1714820286727,-68.95144547599992,-17.506588197999946
province7_ref_shoreline.geojson,-70.2884008449999,-21.453625583753706,-68.4476260989999,-18.94649098726927
province9_ref_shoreline.geojson,-70.73998509499995,-26.02863117997475,-67.01396683799987,-20.927688032999924
province10_ref_shoreline.geojson,-71.17581354339998,-18.337746206368088,-69.5083365479999,-16.817164401715786
province13_ref_shoreline.geojson,33.67409916200006,34.93789297100005,33.92147424400014,35.11899444600006
province14_ref_shoreline.geojson,33.13005048963839,34.70734284100007,33.89626834619021,35.07305409800007
province18_ref_shoreline.geojson,34.24835085700005,29.48969147300005,35.45853804500007,31.8780286731847
province19_ref_shoreline.geojson,34.200269441306034,31.211448958000076,34.55603162304264,31.58314132300005
province20_ref_shoreline.geojson,35.024870232575154,32.384716899000026,35.88807255000012,33.406721700000006
province21_ref_shoreline.geojson,34.86715295400012,31.3449095670001,35.572536255000045,32.54264007600004
province22_ref_shoreline.geojson,34.867796263275885,32.38117625617923,35.210359354000104,32.89307547115607
province23_ref_shoreline.geojson,34.6659414015744,31.76583913826562,35.03900623439571,32.409029853544894
province24_ref_shoreline.geojson,35.28882469800004,33.055580342,35.845116087000065,33.50126292574339
province25_ref_shoreline.geojson,35.099619988000086,33.083976542000116,35.634858840363165,33.60691539213161
province28_ref_shoreline.geojson,39.09044144500007,3.4033334350000928,47.97916914900014,11.089660136000106
province29_ref_shoreline.geojson,47.5323881060001,7.4091184651450135,50.166026238000086,9.569958807852686
province30_ref_shoreline.geojson,46.46696287700007,4.3413760440000715,49.64079458070529,7.7099431419624125
province31_ref_shoreline.geojson,45.51847745277223,3.469265041000085,47.840586785000085,6.538292406000039
province44_ref_shoreline.geojson,42.64724654100013,7.996515605000084,48.939111999918396,11.498928127000056
province45_ref_shoreline.geojson,48.939110554808224,8.329956977332643,51.41703781100006,11.989118646000065
province46_ref_shoreline.geojson,-54.615292114999875,2.1106733200000605,-51.64903723899994,5.744765375000043
province47_ref_shoreline.geojson,-58.067691202999924,1.8335067750000604,-53.98881872599986,5.539868883342308
province48_ref_shoreline.geojson,-58.50215999968424,1.453781096020748,-56.481819010999914,6.339505005000092
province49_ref_shoreline.geojson,126.96606463557441,36.61174490020693,129.47388756600003,38.624335028000075
province50_ref_shoreline.geojson,126.67788048679495,38.17417257100003,128.36491946700005,39.41389944090645
province51_ref_shoreline.geojson,124.61361738400001,36.87893789306929,127.83109175038396,38.21303801599163
province52_ref_shoreline.geojson,125.57386518782812,37.77440013200004,127.01915164563184,39.16758372730715
province53_ref_shoreline.geojson,-12.577366298815662,25.992612805932662,-6.343910237016219,30.487028306810885
province54_ref_shoreline.geojson,-17.104644334999932,20.766913153000075,-8.680809081999882,27.661465148999994
province55_ref_shoreline.geojson,-15.012249130992586,24.393989365716664,-11.543656785931944,28.21014116780715
province56_ref_shoreline.geojson,-17.013743325393165,21.419971097583428,-12.946880248324817,24.59154567169537
province57_ref_shoreline.geojson,-85.44118750729763,9.824516913224954,-84.15772972504675,11.070410665000082
province58_ref_shoreline.geojson,-85.34097482772609,10.7134815470001,-83.66013423699985,11.87054189669118
province67_ref_shoreline.geojson,12.210541212000066,-6.051928236999913,16.27867597791402,-4.277102151999941
province69_ref_shoreline.geojson,11.525580282000135,-4.885333760999899,13.579859863000138,-1.825158792999929
province80_ref_shoreline.geojson,14.801280144000089,-28.959368183999885,19.983203572000036,-25.000075778974008
province81_ref_shoreline.geojson,16.469981316000087,-32.936852308886955,25.521987746337402,-24.75249318399993
province82_ref_shoreline.geojson,35.61356814995014,33.418742463000044,36.604101196000045,34.5001433310001
province83_ref_shoreline.geojson,35.6449577916518,34.15223094300359,36.44018355300011,34.68754791300002
province85_ref_shoreline.geojson,35.86687259200005,34.62791331000001,36.31316369015218,35.261491021316544
province87_ref_shoreline.geojson,-63.14683997299994,18.033391472351283,-63.01073157499991,18.12213776200008
province88_ref_shoreline.geojson,-63.11888587099992,18.01911041900007,-63.01756858528839,18.062119859000063
province89_ref_shoreline.geojson,55.965710890645084,24.871949287229825,56.38363691500007,25.657961177466348
province90_ref_shoreline.geojson,56.07739667277616,25.21117543500013,56.51107832100007,26.385972398000035
province91_ref_shoreline.geojson,55.32481985768427,24.690844631074867,56.38331139400003,25.51325362540209
province92_ref_shoreline.geojson,55.7459837175434,24.82037160936227,56.27468280556701,26.074791972000085
province103_ref_shoreline.geojson,-57.61169836499991,-33.74228037499992,-49.69967403842611,-27.071990655044715
province106_ref_shoreline.geojson,97.1906797339825,37.39032786693747,126.05626468276887,53.324058940000086
province126_ref_shoreline.geojson,23.58580496399956,57.85864003600007,25.29264773910188,58.7512462432195
province130_ref_shoreline.geojson,24.285980665000068,57.40001250916495,24.64919346490649,57.947420146000084
province148_ref_shoreline.geojson,20.924568700365,55.0285802210001,22.29892866422648,56.383676718000046
province149_ref_shoreline.geojson,20.969086134000065,56.07261790600006,21.48549316956981,56.35593997255165
province156_ref_shoreline.geojson,23.37803970300007,56.32596873000004,23.99231367413671,56.8946153844924
